"Source:"	"C:\Users\BodeRu\WorkspaceKiCAD\cbEval.ATtiny412_1614\cbEval.ATtiny412_1614.kicad_sch"
"Date:"	"07.04.2021 15:37:45"
"Tool:"	"Eeschema (5.99.0-10141-g7d9ee76f64)"
"Component Count:"	"55"
"Ref"	"Value"	"Part"	"Footprint"	"Description"	"Vendor"
"J23"	"Bergstik-II_2"	"J.PinHeader:Bergstik-II_2"	"Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical"	"Jumper, 2-pole, open"	""
"MP1"	"KiCAD-Logo2.5mm.SilkScreen"	"Symbol:KiCAD-Logo2.5mm.SilkScreen"	"Symbol:KiCad-Logo2_5mm_SilkScreen"	""	""
"R1"	"4k7"	"R.Yageo.RC0805:4k7"	"Resistor_SMD:R_0805_2012Metric"	"SMD-Metallglasurschicht-Chipwiderstand, Dickschicht, nicht gewendelt"	""
"R2"	"4k7"	"R.Yageo.RC0805:4k7"	"Resistor_SMD:R_0805_2012Metric"	"SMD-Metallglasurschicht-Chipwiderstand, Dickschicht, nicht gewendelt"	""
"R3"	"60R4"	"R.Yageo.RC0805:60R4"	"Resistor_SMD:R_0805_2012Metric"	"SMD-Metallglasurschicht-Chipwiderstand, Dickschicht, nicht gewendelt"	""
"R4"	"60R4"	"R.Yageo.RC0805:60R4"	"Resistor_SMD:R_0805_2012Metric"	"SMD-Metallglasurschicht-Chipwiderstand, Dickschicht, nicht gewendelt"	""
"R5"	"4k7"	"R.Yageo.RC0805:4k7"	"Resistor_SMD:R_0805_2012Metric"	"SMD-Metallglasurschicht-Chipwiderstand, Dickschicht, nicht gewendelt"	""
"R6"	"4k7"	"R.Yageo.RC0805:4k7"	"Resistor_SMD:R_0805_2012Metric"	"SMD-Metallglasurschicht-Chipwiderstand, Dickschicht, nicht gewendelt"	""
"R7"	"649R"	"R.Yageo.RC0805:649R"	"Resistor_SMD:R_0805_2012Metric"	"SMD-Metallglasurschicht-Chipwiderstand, Dickschicht, nicht gewendelt"	""
"R8"	"649R"	"R.Yageo.RC0805:649R"	"Resistor_SMD:R_0805_2012Metric"	"SMD-Metallglasurschicht-Chipwiderstand, Dickschicht, nicht gewendelt"	""
"R9"	"10k"	"R.Yageo.RC0805:10k"	"Resistor_SMD:R_0805_2012Metric"	"SMD-Metallglasurschicht-Chipwiderstand, Dickschicht, nicht gewendelt"	""
